Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 1000000
Leaves: 10000
Node [21384>21385] {2.526714e-01}-{3.910000e+02}-{{0:98}{1:89}{2:100}}
Node [21483>21484] {2.728348e-01}-{3.630000e+02}-{{0:98}{1:88}{2:100}}
Node [21582>21583] {2.525476e-01}-{4.300000e+02}-{{0:98}{1:87}{2:100}}
Node [21681>21682] {2.731731e-01}-{3.740000e+02}-{{0:98}{1:86}{2:100}}
Node [21780>21781] {2.524179e-01}-{3.970000e+02}-{{0:98}{1:85}{2:100}}
Node [21879>21880] {2.735274e-01}-{3.680000e+02}-{{0:98}{1:84}{2:100}}
Node [21978>21979] {2.522823e-01}-{3.930000e+02}-{{0:98}{1:83}{2:100}}
Node [22077>22078] {2.738987e-01}-{3.760000e+02}-{{0:98}{1:82}{2:100}}
Node [22176>22177] {2.521399e-01}-{3.990000e+02}-{{0:98}{1:81}{2:100}}
Node [22275>22276] {2.742884e-01}-{3.900000e+02}-{{0:98}{1:80}{2:100}}
Node [22374>22375] {2.519906e-01}-{3.880000e+02}-{{0:98}{1:79}{2:100}}
Node [22473>22474] {2.746979e-01}-{3.690000e+02}-{{0:98}{1:78}{2:100}}
Node [22572>22573] {2.518336e-01}-{3.940000e+02}-{{0:98}{1:77}{2:100}}
Node [22671>22672] {2.751287e-01}-{3.650000e+02}-{{0:98}{1:76}{2:100}}
Node [22770>22771] {2.516683e-01}-{3.980000e+02}-{{0:98}{1:75}{2:100}}
Node [22869>22870] {2.755825e-01}-{3.720000e+02}-{{0:98}{1:74}{2:100}}
Node [22968>22969] {2.514943e-01}-{3.990000e+02}-{{0:98}{1:73}{2:100}}
Node [23067>23068] {2.760612e-01}-{3.750000e+02}-{{0:98}{1:72}{2:100}}
Node [23166>23167] {2.513106e-01}-{3.890000e+02}-{{0:98}{1:71}{2:100}}
Node [23265>23266] {2.765670e-01}-{3.730000e+02}-{{0:98}{1:70}{2:100}}
Node [23364>23365] {2.511165e-01}-{3.870000e+02}-{{0:98}{1:69}{2:100}}
Node [23463>23464] {2.771021e-01}-{3.760000e+02}-{{0:98}{1:68}{2:100}}
Node [23562>23563] {2.509109e-01}-{4.060000e+02}-{{0:98}{1:67}{2:100}}
Node [23661>23662] {2.817397e-01}-{4.870000e+02}-{{0:98}{1:66}{2:100}}
Node [23760>23761] {2.465605e-01}-{4.940000e+02}-{{0:98}{1:65}{2:100}}
Node [23859>23860] {2.824683e-01}-{4.690000e+02}-{{0:98}{1:64}{2:100}}
Node [23958>23959] {2.461985e-01}-{4.940000e+02}-{{0:98}{1:63}{2:100}}
Node [24057>24058] {2.832435e-01}-{4.580000e+02}-{{0:98}{1:62}{2:100}}
Node [24156>24157] {2.458133e-01}-{4.950000e+02}-{{0:98}{1:61}{2:100}}
Node [24255>24256] {2.840697e-01}-{4.690000e+02}-{{0:98}{1:60}{2:100}}
Node [24354>24355] {2.454024e-01}-{5.000000e+02}-{{0:98}{1:59}{2:100}}
Node [24453>24454] {2.849522e-01}-{4.550000e+02}-{{0:98}{1:58}{2:100}}
Node [24552>24553] {2.449632e-01}-{4.770000e+02}-{{0:98}{1:57}{2:100}}
Node [24651>24652] {2.858967e-01}-{4.610000e+02}-{{0:98}{1:56}{2:100}}
Node [24750>24751] {2.444925e-01}-{4.930000e+02}-{{0:98}{1:55}{2:100}}
Node [24849>24850] {2.869104e-01}-{4.560000e+02}-{{0:98}{1:54}{2:100}}
Node [24948>24949] {2.439871e-01}-{5.230000e+02}-{{0:98}{1:53}{2:100}}
Node [25047>25048] {2.880009e-01}-{5.440000e+02}-{{0:98}{1:52}{2:100}}
Node [25146>25147] {2.434428e-01}-{4.950000e+02}-{{0:98}{1:51}{2:100}}
