Loading object:fap.o
Applying branch and bound with tau=1.000000e-03
************************************************************************************
Explored nodes: 39033
Leaves: 2300
Node [4102>4103] {5.815029e-04}-{{0:41}{1:5}{2:16}}
Node [4118>4119] {5.815029e-04}-{{0:41}{1:4}{2:16}}
Node [4134>4135] {5.815029e-04}-{{0:41}{1:3}{2:16}}
Node [4150>4151] {5.815029e-04}-{{0:41}{1:2}{2:16}}
Node [4166>4167] {5.815029e-04}-{{0:41}{1:1}{2:16}}
Node [4182>4183] {5.815029e-04}-{{0:41}{1:0}{2:16}}
Node [4248>4249] {8.016825e-04}-{{0:40}{1:49}{2:17}}
Node [4264>4265] {6.158352e-04}-{{0:40}{1:48}{2:16}}
Node [4280>4281] {6.334782e-04}-{{0:40}{1:47}{2:16}}
Node [4296>4297] {6.337166e-04}-{{0:40}{1:46}{2:16}}
Node [4312>4313] {6.337166e-04}-{{0:40}{1:45}{2:16}}
Node [4328>4329] {6.337166e-04}-{{0:40}{1:44}{2:16}}
Node [4344>4345] {6.337166e-04}-{{0:40}{1:43}{2:16}}
Node [4360>4361] {6.337166e-04}-{{0:40}{1:42}{2:16}}
Node [4376>4377] {6.337166e-04}-{{0:40}{1:41}{2:16}}
Node [4392>4393] {6.337166e-04}-{{0:40}{1:40}{2:16}}
Node [4408>4409] {6.337166e-04}-{{0:40}{1:39}{2:16}}
Node [4424>4425] {6.337166e-04}-{{0:40}{1:38}{2:16}}
Node [4440>4441] {6.337166e-04}-{{0:40}{1:37}{2:16}}
Node [4456>4457] {6.337166e-04}-{{0:40}{1:36}{2:16}}
Node [4472>4473] {6.337166e-04}-{{0:40}{1:35}{2:16}}
Node [4488>4489] {6.337166e-04}-{{0:40}{1:34}{2:16}}
Node [4504>4505] {6.337166e-04}-{{0:40}{1:33}{2:16}}
Node [4520>4521] {6.337166e-04}-{{0:40}{1:32}{2:16}}
Node [4536>4537] {6.337166e-04}-{{0:40}{1:31}{2:16}}
Node [4552>4553] {6.337166e-04}-{{0:40}{1:30}{2:16}}
Node [4568>4569] {6.337166e-04}-{{0:40}{1:29}{2:16}}
Node [4584>4585] {6.337166e-04}-{{0:40}{1:28}{2:16}}
Node [4600>4601] {6.337166e-04}-{{0:40}{1:27}{2:16}}
Node [4616>4617] {6.337166e-04}-{{0:40}{1:26}{2:16}}
Node [4632>4633] {6.337166e-04}-{{0:40}{1:25}{2:16}}
Node [4648>4649] {6.337166e-04}-{{0:40}{1:24}{2:16}}
Node [4664>4665] {6.337166e-04}-{{0:40}{1:23}{2:16}}
Node [4680>4681] {6.337166e-04}-{{0:40}{1:22}{2:16}}
Node [4696>4697] {6.337166e-04}-{{0:40}{1:21}{2:16}}
Node [4712>4713] {6.337166e-04}-{{0:40}{1:20}{2:16}}
Node [4728>4729] {6.337166e-04}-{{0:40}{1:19}{2:16}}
Node [4744>4745] {6.337166e-04}-{{0:40}{1:18}{2:16}}
Node [4760>4761] {6.337166e-04}-{{0:40}{1:17}{2:16}}
Node [4776>4777] {6.337166e-04}-{{0:40}{1:16}{2:16}}
Node [4792>4793] {6.337166e-04}-{{0:40}{1:15}{2:16}}
Node [4808>4809] {6.337166e-04}-{{0:40}{1:14}{2:16}}
Node [4824>4825] {6.337166e-04}-{{0:40}{1:13}{2:16}}
Node [4840>4841] {6.337166e-04}-{{0:40}{1:12}{2:16}}
Node [4856>4857] {6.337166e-04}-{{0:40}{1:11}{2:16}}
Node [4872>4873] {6.337166e-04}-{{0:40}{1:10}{2:16}}
Node [4888>4889] {6.337166e-04}-{{0:40}{1:9}{2:16}}
Node [4904>4905] {6.337166e-04}-{{0:40}{1:8}{2:16}}
Node [4920>4921] {6.337166e-04}-{{0:40}{1:7}{2:16}}
Node [4936>4937] {6.337166e-04}-{{0:40}{1:6}{2:16}}
Node [4952>4953] {6.337166e-04}-{{0:40}{1:5}{2:16}}
Node [4968>4969] {6.337166e-04}-{{0:40}{1:4}{2:16}}
Node [4984>4985] {6.337166e-04}-{{0:40}{1:3}{2:16}}
Node [5000>5001] {6.337166e-04}-{{0:40}{1:2}{2:16}}
Node [5016>5017] {6.337166e-04}-{{0:40}{1:1}{2:16}}
Node [5032>5033] {6.337166e-04}-{{0:40}{1:0}{2:16}}
Node [5098>5099] {8.026361e-04}-{{0:39}{1:49}{2:17}}
Node [5114>5115] {6.445646e-04}-{{0:39}{1:48}{2:16}}
Node [5130>5131] {6.622076e-04}-{{0:39}{1:47}{2:16}}
Node [5146>5147] {6.624460e-04}-{{0:39}{1:46}{2:16}}
Node [5162>5163] {6.624460e-04}-{{0:39}{1:45}{2:16}}
Node [5178>5179] {6.624460e-04}-{{0:39}{1:44}{2:16}}
Node [5194>5195] {6.624460e-04}-{{0:39}{1:43}{2:16}}
Node [5210>5211] {6.624460e-04}-{{0:39}{1:42}{2:16}}
Node [5226>5227] {6.624460e-04}-{{0:39}{1:41}{2:16}}
Node [5242>5243] {6.624460e-04}-{{0:39}{1:40}{2:16}}
Node [5258>5259] {6.624460e-04}-{{0:39}{1:39}{2:16}}
Node [5274>5275] {6.624460e-04}-{{0:39}{1:38}{2:16}}
Node [5290>5291] {6.624460e-04}-{{0:39}{1:37}{2:16}}
Node [5306>5307] {6.624460e-04}-{{0:39}{1:36}{2:16}}
Node [5322>5323] {6.624460e-04}-{{0:39}{1:35}{2:16}}
Node [5338>5339] {6.624460e-04}-{{0:39}{1:34}{2:16}}
Node [5354>5355] {6.624460e-04}-{{0:39}{1:33}{2:16}}
Node [5370>5371] {6.624460e-04}-{{0:39}{1:32}{2:16}}
Node [5386>5387] {6.624460e-04}-{{0:39}{1:31}{2:16}}
Node [5402>5403] {6.624460e-04}-{{0:39}{1:30}{2:16}}
Node [5418>5419] {6.624460e-04}-{{0:39}{1:29}{2:16}}
Node [5434>5435] {6.624460e-04}-{{0:39}{1:28}{2:16}}
Node [5450>5451] {6.624460e-04}-{{0:39}{1:27}{2:16}}
Node [5466>5467] {6.624460e-04}-{{0:39}{1:26}{2:16}}
Node [5482>5483] {6.624460e-04}-{{0:39}{1:25}{2:16}}
Node [5498>5499] {6.624460e-04}-{{0:39}{1:24}{2:16}}
Node [5514>5515] {6.624460e-04}-{{0:39}{1:23}{2:16}}
Node [5530>5531] {6.624460e-04}-{{0:39}{1:22}{2:16}}
Node [5546>5547] {6.624460e-04}-{{0:39}{1:21}{2:16}}
Node [5562>5563] {6.624460e-04}-{{0:39}{1:20}{2:16}}
Node [5578>5579] {6.624460e-04}-{{0:39}{1:19}{2:16}}
Node [5594>5595] {6.624460e-04}-{{0:39}{1:18}{2:16}}
Node [5610>5611] {6.624460e-04}-{{0:39}{1:17}{2:16}}
Node [5626>5627] {6.624460e-04}-{{0:39}{1:16}{2:16}}
Node [5642>5643] {6.624460e-04}-{{0:39}{1:15}{2:16}}
Node [5658>5659] {6.624460e-04}-{{0:39}{1:14}{2:16}}
Node [5674>5675] {6.624460e-04}-{{0:39}{1:13}{2:16}}
Node [5690>5691] {6.624460e-04}-{{0:39}{1:12}{2:16}}
Node [5706>5707] {6.624460e-04}-{{0:39}{1:11}{2:16}}
Node [5722>5723] {6.624460e-04}-{{0:39}{1:10}{2:16}}
Node [5738>5739] {6.624460e-04}-{{0:39}{1:9}{2:16}}
Node [5754>5755] {6.624460e-04}-{{0:39}{1:8}{2:16}}
Node [5770>5771] {6.624460e-04}-{{0:39}{1:7}{2:16}}
Node [5786>5787] {6.624460e-04}-{{0:39}{1:6}{2:16}}
Node [5802>5803] {6.624460e-04}-{{0:39}{1:5}{2:16}}
Node [5818>5819] {6.624460e-04}-{{0:39}{1:4}{2:16}}
Node [5834>5835] {6.624460e-04}-{{0:39}{1:3}{2:16}}
Node [5850>5851] {6.624460e-04}-{{0:39}{1:2}{2:16}}
Node [5866>5867] {6.624460e-04}-{{0:39}{1:1}{2:16}}
Node [5882>5883] {6.624460e-04}-{{0:39}{1:0}{2:16}}
Node [5948>5949] {8.026361e-04}-{{0:38}{1:49}{2:17}}
Node [5964>5965] {6.325245e-04}-{{0:38}{1:48}{2:16}}
Node [5980>5981] {6.501675e-04}-{{0:38}{1:47}{2:16}}
Node [5996>5997] {6.504059e-04}-{{0:38}{1:46}{2:16}}
Node [6012>6013] {6.504059e-04}-{{0:38}{1:45}{2:16}}
Node [6028>6029] {6.504059e-04}-{{0:38}{1:44}{2:16}}
Node [6044>6045] {6.504059e-04}-{{0:38}{1:43}{2:16}}
Node [6060>6061] {6.504059e-04}-{{0:38}{1:42}{2:16}}
Node [6076>6077] {6.504059e-04}-{{0:38}{1:41}{2:16}}
Node [6092>6093] {6.504059e-04}-{{0:38}{1:40}{2:16}}
Node [6108>6109] {6.504059e-04}-{{0:38}{1:39}{2:16}}
Node [6124>6125] {6.504059e-04}-{{0:38}{1:38}{2:16}}
Node [6140>6141] {6.504059e-04}-{{0:38}{1:37}{2:16}}
Node [6156>6157] {6.504059e-04}-{{0:38}{1:36}{2:16}}
